,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
109,No Data,"3 (Jan 31, 2020)","Right At Home Realty Inc., Brokerage",40.00 x 130 Feet,C4680657,No Data,2-Storey,"$14,587 /yr",Detached,23,154 Dunblaine Avenue,Toronto,Bedford Park-nortown,"$2,780,000 ",,,,,
110,No Data,"3 (Jan 31, 2020)","Exp Realty, Brokerage",50.00 x 111 Feet,W4680584,No Data,Bungalow,"$2,779 /yr",Detached,38,6 Dorward Drive,Toronto,Mount Olive-silverstone-jamestown,"$890,333 ",,,,,
111,No Data,"3 (Jan 31, 2020)","Snobar Realty Group Inc., Brokerage",50.00 x 110 Feet,W4680564,No Data,Bungalow,"$3,867 /yr",Detached,51,54 Ludstone Drive,Toronto,Willowridge-martingrove-richview,"$799,888 ",,,,,
112,No Data,"3 (Jan 31, 2020)","Right At Home Realty Inc., Brokerage",48.06 x 102 Feet,E4680547,No Data,Sidesplit 3,"$3,695 /yr",Detached,57,25 Rowatson Road,Toronto,Guildwood,"$849,900 ",,,,,
113,No Data,"3 (Jan 31, 2020)","Re/max West Realty Inc., Brokerage",25.00 x 125 Feet,W4680368,No Data,Bungalow,"$1,978 /yr",Detached,75,133 Lake Crescent,Toronto,Mimico,"$749,900 ",,,,,
114,No Data,"3 (Jan 31, 2020)","Re/max Realtron Bill Thom Group Realty Inc., Brokerage",50.10 x 120 Feet,C4680343,No Data,2-Storey,"$6,700 /yr",Detached,30,38 Tarbert Road,Toronto,Bayview Woods-steeles,"$1,388,000 ",,,,,
115,New,"3 (Jan 31, 2020)","Forest Hill Real Estate Inc., Brokerage",25.00 x 130 Feet,C4680305,No Data,2-Storey,No Data,Detached,76,70 Florence Avenue,Toronto,Lansing-westgate,"$2,188,000 ",,,,,
116,No Data,"3 (Jan 31, 2020)","Century 21 Percy Fulton Ltd., Brokerage",58.98 x 116.79 Feet,E4680268,No Data,Backsplit 3,"$2,614 /yr",Detached,54,11 Foregate Avenue,Toronto,Malvern,"$899,000 ",,,,,
117,No Data,"3 (Jan 31, 2020)","Re/max Realty Specialists Inc., Brokerage",66.96 x 104 Feet,E4680142,No Data,Bungalow,"$3,186 /yr",Detached,59,10 Belyea Crescent,Toronto,Bendale,"$799,888 ",,,,,
118,0-5 years,"3 (Jan 31, 2020)","Century 21 Percy Fulton Ltd., Brokerage",49.00 x 140.79 Feet,E4680120,3500-5000 sqft,2-Storey,"$10,557 /yr",Detached,20,9 Aspen Avenue,Toronto,O'connor-parkview,"$2,880,000 ",,,,,
119,0-5 years,"3 (Jan 31, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 145 Feet,C4680124,3500-5000 sqft,2-Storey,"$21,554 /yr",Detached,35,46 Beechwood Avenue,Toronto,Bridle Path-sunnybrook-york Mills,"$4,628,000 ",,,,,
120,6-15 years,"3 (Jan 31, 2020)","Home Standards Brickstone Realty, Brokerage",31.00 x 109 Feet,C4680109,No Data,2-Storey,"$9,491 /yr",Detached,67,318 Douglas Avenue,Toronto,Bedford Park-nortown,"$2,880,000 ",,,,,
121,51-99 years,"4 (Jan 30, 2020)","Re/max Ultimate Realty Inc., Brokerage",50.00 x 125 Feet,E4680093,700-1100 sqft,Bungalow,"$3,257 /yr",Detached,51,106 Canlish Road,Toronto,Dorset Park,"$699,900 ",,,,,
122,0-5 years,"3 (Jan 31, 2020)","Re/max West Realty Inc., Brokerage",50.00 x 100 Feet,W4680076,No Data,2-Storey,"$7,000 /yr",Detached,9,26 Shadowbrook Drive,Toronto,Princess-rosethorn,"$1,649,888 ",,,,,
123,No Data,"3 (Jan 31, 2020)","Re/max Royal Properties Realty, Brokerage",55.00 x 107.45 Feet,E4680065,No Data,Bungalow,"$4,808 /yr",Detached,53,5 Hepscott Terrace,Toronto,L'amoreaux,"$1,278,800 ",,,,,
124,No Data,"3 (Jan 30, 2020)","Re/max West Realty Inc., Brokerage",50.00 x 150 Feet,W4680026,3500-5000 sqft,2-Storey,"$8,117 /yr",Detached,79,32 Wilmar Road,Toronto,Islington-city Centre West,"$1,895,000 ",,,,,
125,51-99 years,"3 (Jan 30, 2020)","Right At Home Realty Inc., Brokerage",31.50 x 167.25 Feet,W4679985,No Data,2-Storey,"$6,653 /yr",Detached,67,152 Morningside Avenue,Toronto,High Park-swansea,"$1,500,000 ",,,,,
126,6-15 years,"3 (Jan 30, 2020)","Homelife/future Realty Inc., Brokerage",36.01 x 82.01 Feet,E4679979,1500-2000 sqft,2-Storey,"$3,497 /yr",Detached,14,97 Nightstar Road,Toronto,Rouge E11,"$879,000 ",,,,,
127,31-50 years,"4 (Jan 30, 2020)","Century 21 Percy Fulton Ltd., Brokerage",58.00 x 110 Feet,E4679924,No Data,Backsplit 4,"$4,511 /yr",Detached,32,28 Stubbswood Square,Toronto,Agincourt South-malvern West,"$1,099,888 ",,,,,
128,No Data,"4 (Jan 30, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 172.25 Feet,E4679922,No Data,2-Storey,"$3,673 /yr",Detached,86,201 Gledhill Avenue,Toronto,Woodbine-lumsden,"$799,000 ",,,,,
129,No Data,"4 (Jan 30, 2020)","Sam Mcdadi Real Estate Inc., Brokerage",56.00 x 100 Feet,W4679866,No Data,2-Storey,"$5,636 /yr",Detached,83,37 Marina Avenue,Toronto,Long Branch,"$1,450,000 ",,,,,
130,No Data,"4 (Jan 30, 2020)","Sultan Realty Inc., Brokerage",60.00 x 111.91 Feet,E4679873,No Data,Backsplit 4,"$5,229 /yr",Detached,24,22 Belgreen Avenue,Toronto,Tam O'shanter-sullivan,"$998,000 ",,,,,
131,No Data,"4 (Jan 30, 2020)","Century 21 Regal Realty Inc., Brokerage",30.00 x 125 Feet,E4679872,No Data,1 1/2 Storey,"$2,920 /yr",Detached,66,32 Atlee Avenue,Toronto,Birchcliffe-cliffside,"$595,000 ",,,,,
132,No Data,"4 (Jan 30, 2020)","Intercity Realty Inc., Brokerage",45.00 x 113.9 Feet,W4679812,No Data,Backsplit 3,"$2,797 /yr",Detached,50,14 Genthorn Avenue,Toronto,Rexdale-kipling,"$758,990 ",,,,,
133,No Data,"4 (Jan 30, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",35.01 x 100 Feet,W4679809,No Data,3-Storey,"$8,500 /yr",Detached,89,155 Springhurst Avenue,Toronto,South Parkdale,"$1,850,000 ",,,,,
134,No Data,"4 (Jan 30, 2020)","Engel & Volkers Toronto Central, Brokerage",42.13 x 130.37 Feet,C4679840,No Data,2-Storey,"$8,149 /yr",Detached,63,17 Otter Crescent,Toronto,Bedford Park-nortown,"$1,889,000 ",,,,,
135,No Data,"4 (Jan 30, 2020)","Right At Home Realty Inc., Brokerage",75.00 x 127.75 Feet,W4679717,3500-5000 sqft,2-Storey,"$9,220 /yr",Detached,63,29 Bloorlea Crescent,Toronto,Islington-city Centre West,"$1,899,000 ",,,,,
136,No Data,"4 (Jan 30, 2020)","Re/max Hallmark First Group Realty Ltd., Brokerage",50.00 x 201.58 Feet,E4679738,No Data,2-Storey,"$3,010 /yr",Detached,24,21 Minnacote Avenue,Toronto,West Hill,"$799,999 ",,,,,
137,No Data,"4 (Jan 30, 2020)","Re/max Hallmark York Group Realty Ltd., Brokerage",124.00 x 152 Feet,C4679730,No Data,2-Storey,"$8,319 /yr",Detached,41,10 Gustav Crescent,Toronto,Newtonbrook East,"$3,299,000 ",,,,,
138,No Data,"4 (Jan 30, 2020)","Master`s Choice Realty Inc., Brokerage",50.00 x 118.7 Feet,C4679709,1500-2000 sqft,Backsplit 4,"$5,332 /yr",Detached,64,89 Willesden Road,Toronto,Hillcrest Village,"$999,000 ",,,,,
139,No Data,"4 (Jan 30, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",63.32 x 120 Feet,W4679685,No Data,Bungalow,"$7,834 /yr",Detached,53,17 Tettenhall Road,Toronto,Princess-rosethorn,"$2,149,000 ",,,,,
140,No Data,"4 (Jan 30, 2020)","Re/max West Realty Inc., Brokerage",55.00 x 100 Feet,W4679653,No Data,Bungalow,"$4,622 /yr",Detached,39,18 Canerouth Drive,Toronto,Eringate-centennial-west Deane,"$1,279,000 ",,,,,
141,No Data,"4 (Jan 30, 2020)","Re/max Premier Inc., Brokerage",60.00 x 318.75 Feet,E4679637,No Data,Bungalow,"$2,685 /yr",Detached,39,54 Dale Avenue,Toronto,Guildwood,"$865,000 ",,,,,
142,No Data,"4 (Jan 30, 2020)","Homelife Golconda Realty Inc., Brokerage",50.00 x 68.91 Feet,C4679652,No Data,2-Storey,"$8,370 /yr",Detached,56,12 Browside Avenue,Toronto,Forest Hill South,"$3,280,000 ",,,,,
143,No Data,"4 (Jan 30, 2020)","Re/max Crossroads Realty Inc., Brokerage",39.99 x 123 Feet,E4679604,No Data,Bungalow,"$3,152 /yr",Detached,42,16 Manorwood Road,Toronto,Bendale,"$859,000 ",,,,,
144,No Data,"4 (Jan 30, 2020)","Re/max Realtron David Soberano Group, Brokerage",50.00 x 115 Feet,C4679540,No Data,1 1/2 Storey,"$4,171 /yr",Detached,35,178 Acton Avenue,Toronto,Bathurst Manor,"$1,149,900 ",,,,,
145,New,"4 (Jan 30, 2020)","Citysites Realty Inc., Brokerage",30.00 x 133.69 Feet,W4679560,2500-3000 sqft,2-Storey,"$3,800 /yr",Detached,45,89 South Kingsway Boulevard,Toronto,High Park-swansea,"$2,599,000 ",,,,,
146,No Data,"4 (Jan 30, 2020)","Royal Lepage Estate Realty, Brokerage",25.00 x 100 Feet,E4679538,No Data,2-Storey,"$4,586 /yr",Detached,88,343 Scarborough Road,Toronto,The Beaches,"$1,349,000 ",,,,,
147,No Data,"4 (Jan 30, 2020)","Bspoke Realty Inc., Brokerage",35.00 x 189.17 Feet,W4679523,2000-2500 sqft,2-Storey,"$4,601 /yr",Detached,45,82 South Kingsway Way,Toronto,High Park-swansea,"$2,200,000 ",,,,,
148,51-99 years,"4 (Jan 30, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",66.00 x 120.75 Feet,W4679485,1500-2000 sqft,Bungalow,"$7,114 /yr",Detached,17,24 Blair Athol Crescent,Toronto,Edenbridge-humber Valley,"$2,650,000 ",,,,,
149,No Data,"4 (Jan 30, 2020)","Search Realty Corp., Brokerage",64.01 x 73.63 Feet,E4679514,No Data,2-Storey,"$2,615 /yr",Detached,15,576 Mclevin Avenue,Toronto,Malvern,"$840,000 ",,,,,
150,No Data,"4 (Jan 30, 2020)","Royal Lepage Premium One Realty, Brokerage",51.77 x 184.42 Feet,W4679421,2500-3000 sqft,Backsplit 4,"$4,150 /yr",Detached,15,20 Ladyshot Crescent,Toronto,York University Heights,"$1,328,000 ",,,,,
151,No Data,"4 (Jan 30, 2020)","Keller Williams Advantage Realty, Brokerage",60.00 x 103.53 Feet,C4679427,No Data,Sidesplit 3,"$6,276 /yr",Detached,62,168 Cottonwood Drive,Toronto,Banbury-don Mills,"$1,874,900 ",,,,,
152,No Data,"4 (Jan 30, 2020)","Gilbert Realty Inc., Brokerage",No Data,C4679425,No Data,2-Storey,No Data,Detached,65,12 Carhartt Avenue,Toronto,Englemount-lawrence,"$1,550,000 ",,,,,
153,No Data,"4 (Jan 30, 2020)","Royal Lepage Signature Realty, Brokerage",67.00 x 110.08 Feet,C4679407,No Data,1 1/2 Storey,"$4,812 /yr",Detached,62,110 Plateau Crescent,Toronto,Banbury-don Mills,"$1,088,000 ",,,,,
154,0-5 years,"4 (Jan 30, 2020)","Re/max Premier Inc., Brokerage",22.57 x 75.06 Feet,W4679325,2000-2500 sqft,3-Storey,"$5,500 /yr",Detached,73,2 Methuen Avenue,Toronto,Lambton Baby Point,"$1,499,888 ",,,,,
155,No Data,"4 (Jan 30, 2020)","Income Plus Realty Services Inc., Brokerage",44.15 x 112.74 Feet,W4679277,No Data,2-Storey,"$6,260 /yr",Detached,53,29 Ridgemount Road,Toronto,Humber Heights,"$1,499,999 ",,,,,
156,New,"4 (Jan 30, 2020)","Master`s Choice Realty Inc., Brokerage",31.54 x 100 Feet,E4679342,2500-3000 sqft,2-Storey,"$6,290 /yr",Detached,82,245 Oak Park Avenue,Toronto,Woodbine-lumsden,"$1,429,000 ",,,,,
157,No Data,"4 (Jan 30, 2020)","Royal Lepage Signature Realty, Brokerage",40.00 x 120 Feet,E4679308,No Data,1 1/2 Storey,"$5,435 /yr",Detached,65,12 Crescentwood Road,Toronto,Birchcliffe-cliffside,"$1,598,000 ",,,,,
158,51-99 years,"4 (Jan 30, 2020)","Re/max Hallmark Estate Group Realty Ltd., Brokerage",55.11 x 110.43 Feet,C4679271,No Data,Sidesplit 4,"$4,535 /yr",Detached,77,224 Sloane Avenue,Toronto,Victoria Village,"$1,149,900 ",,,,,
159,New,"4 (Jan 30, 2020)","Re/max Real Estate Centre Inc., Brokerage",50.00 x 110.5 Feet,W4679227,3000-3500 sqft,2-Storey,"$4,359 /yr",Detached,51,12 Cronin Drive,Toronto,Islington-city Centre West,"$2,199,000 ",,,,,
160,No Data,"4 (Jan 30, 2020)","Royal Lepage Signature Realty, Brokerage",50.42 x 125.06 Feet,E4679234,No Data,Sidesplit 4,"$4,147 /yr",Detached,57,11 Squires Avenue,Toronto,O'connor-parkview,"$998,000 ",,,,,
161,51-99 years,"4 (Jan 30, 2020)","Royal Lepage Credit Valley Real Estate, Brokerage",50.00 x 135.66 Feet,C4679236,1500-2000 sqft,Sidesplit 4,"$8,238 /yr",Detached,24,263 Dunforest Avenue,Toronto,Willowdale East,"$1,788,800 ",,,,,
162,No Data,"4 (Jan 30, 2020)","Homecomfort Realty Inc., Brokerage",54.57 x 112.08 Feet,C4679217,No Data,Sidesplit 3,"$4,500 /yr",Detached,32,27 Shippigan Crescent,Toronto,Don Valley Village,"$1,099,000 ",,,,,
163,6-15 years,"4 (Jan 30, 2020)","Norman Hill Realty Inc., Brokerage",49.83 x 132 Feet,C4679171,3500-5000 sqft,2-Storey,"$11,219 /yr",Detached,77,111 Hounslow Avenue,Toronto,Willowdale West,"$2,389,000 ",,,,,
164,No Data,"4 (Jan 30, 2020)","Royal Lepage Connect Realty, Brokerage",52.00 x 110 Feet,E4679146,No Data,Bungalow,"$3,161 /yr",Detached,39,110 Brimorton Drive,Toronto,Woburn,"$689,888 ",,,,,
165,No Data,"4 (Jan 30, 2020)","Main Street Realty Ltd., Brokerage",25.00 x 100 Feet,E4679131,No Data,Bungalow,"$4,025 /yr",Detached,76,63 Floyd Avenue,Toronto,Broadview North,"$799,000 ",,,,,
166,51-99 years,"4 (Jan 30, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",42.00 x 104 Feet,E4679127,No Data,Bungalow,"$3,269 /yr",Detached,62,110 Packard Boulevard,Toronto,Bendale,"$800,000 ",,,,,
167,No Data,"4 (Jan 30, 2020)","Bosley Real Estate Ltd., Brokerage",31.00 x 110 Feet,C4679142,No Data,Bungalow,"$5,513 /yr",Detached,57,321 Laird Drive,Toronto,Leaside,"$1,389,000 ",,,,,
168,No Data,"4 (Jan 30, 2020)","Re/max Hallmark Realty Ltd., Brokerage",20.58 x 100 Feet,E4679102,No Data,2-Storey,"$4,493 /yr",Detached,79,330 Lee Avenue,Toronto,The Beaches,"$1,380,000 ",,,,,
169,No Data,"4 (Jan 30, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",25.00 x 115 Feet,C4679105,No Data,2-Storey,"$6,270 /yr",Detached,82,40 Peveril Hill,Toronto,Humewood-cedarvale,"$1,598,000 ",,,,,
170,No Data,"4 (Jan 30, 2020)","Chestnut Park Real Estate Limited, Brokerage",65.00 x 120 Feet,C4679099,No Data,2-Storey,"$10,643 /yr",Detached,79,277 Chaplin Crescent,Toronto,Forest Hill South,"$2,798,000 ",,,,,
171,No Data,"4 (Jan 29, 2020)","Bay Street Group Inc., Brokerage",50.00 x 120.88 Feet,C4679073,No Data,2-Storey,"$4,466 /yr",Detached,9,184 Woodsworth Road,Toronto,St. Andrew-windfields,"$1,268,000 ",,,,,
172,No Data,"4 (Jan 29, 2020)","Tripod Realty Inc., Brokerage",97.34 x 130.68 Feet,C4679035,No Data,Backsplit 4,"$7,593 /yr",Detached,21,1 Heathview Avenue,Toronto,Bayview Village,"$2,298,000 ",,,,,
173,No Data,"5 (Jan 29, 2020)","Homelife/local Real Estate Ltd., Brokerage",31.99 x 98.43 Feet,W4679006,No Data,2-Storey,"$3,913 /yr",Detached,34,6 Lafferty Street,Toronto,Eringate-centennial-west Deane,"$1,049,000 ",,,,,
174,No Data,"5 (Jan 29, 2020)","Re/max Ultimate Realty Inc., Brokerage",50.00 x 111.15 Feet,W4678987,No Data,Bungalow-Raised,"$3,375 /yr",Detached,66,89 Alhart Drive,Toronto,Thistletown-beaumonde Heights,"$780,000 ",,,,,
175,No Data,"5 (Jan 29, 2020)","Bay Street Group Inc., Brokerage",206.50 x 425.87 Feet,C4678978,5000 sqft,2-Storey,"$53,282 /yr",Detached,7,38 Park Lane Circle,Toronto,Bridle Path-sunnybrook-york Mills,"$12,500,000 ",,,,,
176,No Data,"5 (Jan 29, 2020)","Royal Lepage/j & D Division, Brokerage",25.00 x 150 Feet,C4678931,No Data,3-Storey,"$11,153 /yr",Detached,80,155 St Germain Avenue,Toronto,Lawrence Park North,"$2,695,000 ",,,,,
177,0-5 years,"5 (Jan 29, 2020)","Intercity Realty Inc., Brokerage",45.00 x 139.9 Feet,W4678791,3000-3500 sqft,2-Storey,"$5,864 /yr",Detached,16,179 Cornelius Parkway,Toronto,Maple Leaf,"$1,829,000 ",,,,,
178,No Data,"5 (Jan 29, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",55.45 x 123.54 Feet,C4678840,No Data,2-Storey,"$7,836 /yr",Detached,23,191 Banbury Road,Toronto,Banbury-don Mills,"$1,898,000 ",,,,,
179,No Data,"5 (Jan 29, 2020)","Chestnut Park Real Estate Limited, Brokerage",37.08 x 156.71 Feet,C4678813,No Data,2-Storey,"$12,659 /yr",Detached,91,35 Donegall Drive,Toronto,Leaside,"$4,349,000 ",,,,,
180,No Data,"5 (Jan 29, 2020)","Century 21 King`s Quay Real Estate Inc., Brokerage",18.00 x 110 Feet,W4678760,No Data,2-Storey,"$4,441 /yr",Detached,78,829 Gladstone Avenue,Toronto,Dovercourt-wallace Emerson-junction,"$998,000 ",,,,,
181,16-30 years,"5 (Jan 29, 2020)","Royal Lepage/j & D Division, Brokerage",50.00 x 150 Feet,C4678761,3000-3500 sqft,2-Storey,"$19,461 /yr",Detached,25,79 Rochester Avenue,Toronto,Lawrence Park South,"$3,995,000 ",,,,,
182,6-15 years,"5 (Jan 29, 2020)","Re/max West Realty Inc., Brokerage",20.00 x 120 Feet,W4678718,2000-2500 sqft,3-Storey,"$4,692 /yr",Detached,79,63 Harold Street,Toronto,Mimico,"$1,495,000 ",,,,,
183,No Data,"5 (Jan 29, 2020)","Re/max Crossroads Realty Inc., Brokerage",40.03 x 111.8 Feet,E4678651,No Data,2-Storey,"$3,576 /yr",Detached,5,15 Bingley Road,Toronto,Rouge E11,"$869,000 ",,,,,
184,No Data,"5 (Jan 29, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",20.01 x 125 Feet,C4678695,No Data,3-Storey,"$10,181 /yr",Detached,49,204 Bedford Park Avenue,Toronto,Lawrence Park North,"$2,399,000 ",,,,,
185,No Data,"5 (Jan 29, 2020)","Alan Newton Real Estate Ltd., Brokerage",50.48 x 119.5 Feet,C4678649,1500-2000 sqft,Bungalow,"$6,386 /yr",Detached,39,83 Invermay Avenue,Toronto,Clanton Park,"$1,395,000 ",,,,,
186,0-5 years,"5 (Jan 29, 2020)","Psr, Brokerage",25.00 x 106 Feet,C4678641,2500-3000 sqft,3-Storey,"$5,667 /yr",Detached,71,57 Roseneath Gardens,Toronto,Oakwood-vaughan,"$1,799,000 ",,,,,
187,51-99 years,"5 (Jan 29, 2020)","Re/max All-stars Benczik Team Realty, Brokerage",49.31 x 100 Feet,E4678578,2000-2500 sqft,2-Storey,"$4,591 /yr",Detached,60,56 Ovendon Square,Toronto,Agincourt North,"$950,000 ",,,,,
188,51-99 years,"5 (Jan 29, 2020)","Realty Toronto Inc., Brokerage",35.00 x 186.25 Feet,C4678567,1100-1500 sqft,1 1/2 Storey,"$8,705 /yr",Detached,75,54 Edgecombe Avenue,Toronto,Bedford Park-nortown,"$1,499,000 ",,,,,
189,100 years,"5 (Jan 29, 2020)","Royal Lepage Connect Realty, Brokerage",25.00 x 90 Feet,W4678472,No Data,2 1/2 Storey,"$8,416 /yr",Detached,77,191 Grenadier Road,Toronto,High Park-swansea,"$2,499,000 ",,,,,
190,No Data,"5 (Jan 29, 2020)","Cityscape Real Estate Ltd., Brokerage",71.07 x 112.07 Feet,W4678467,No Data,2-Storey,"$3,484 /yr",Detached,67,16 Datchet Road,Toronto,Downsview-roding-cfb,"$995,000 ",,,,,
191,No Data,"5 (Jan 29, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",120.00 x 86.51 Feet,E4678442,No Data,2-Storey,"$2,923 /yr",Detached,54,132 Marcos Boulevard,Toronto,Bendale,"$980,000 ",,,,,
192,No Data,"5 (Jan 29, 2020)","Re/max West D&s Group, Brokerage",35.00 x 100 Feet,C4678459,No Data,2-Storey,"$5,286 /yr",Detached,76,404 Sutherland Drive,Toronto,Leaside,"$2,798,800 ",,,,,
193,No Data,"5 (Jan 29, 2020)","Bosley Real Estate Adam Parsons Group Brokerage Inc., Broker",40.00 x 121.75 Feet,C4678449,No Data,2 1/2 Storey,"$11,068 /yr",Detached,68,737 Avenue Road,Toronto,Yonge-st. Clair,"$3,590,000 ",,,,,
194,No Data,"5 (Jan 29, 2020)","Homelife Regional Realty Ltd., Brokerage",20.00 x 123 Feet,C4678420,No Data,2-Storey,"$5,886 /yr",Detached,91,455 Ossington Avenue,Toronto,Palmerston-little Italy,"$1,288,800 ",,,,,
195,No Data,"5 (Jan 29, 2020)","Sutton Group - Old Mill Linda Tickins Inc., Brokerage",50.00 x 125 Feet,W4678379,No Data,2-Storey,"$9,581 /yr",Detached,66,119 The Kingsway,Toronto,Kingsway South,"$3,975,000 ",,,,,
196,No Data,"5 (Jan 29, 2020)","Re/max Professionals Inc., Brokerage",66.50 x 146 Feet,W4678319,No Data,Bungalow,"$3,405 /yr",Detached,14,145 Verobeach Boulevard,Toronto,Humbermede,"$1,195,000 ",,,,,
197,No Data,"5 (Jan 29, 2020)","Re/max Hallmark Realty Ltd., Brokerage",19.33 x 140 Feet,C4678389,1500-2000 sqft,2-Storey,"$5,182 /yr",Detached,35,403 Winona Drive,Toronto,Oakwood-vaughan,"$898,800 ",,,,,
198,No Data,"5 (Jan 29, 2020)","Slavens & Associates Real Estate Inc., Brokerage",25.00 x 149 Feet,C4678384,No Data,3-Storey,"$6,633 /yr",Detached,80,107 Alcina Avenue,Toronto,Wychwood,"$1,995,000 ",,,,,
199,New,"5 (Jan 29, 2020)","Re/max Realtron Bill Thom Group Realty Inc., Brokerage",50.00 x 110 Feet,C4678348,3500-5000 sqft,2-Storey,No Data,Detached,40,253 Poyntz Avenue,Toronto,Lansing-westgate,"$2,750,000 ",,,,,
200,No Data,"5 (Jan 29, 2020)","Royal Lepage Terrequity Realty, Brokerage",18.73 x 93.72 Feet,E4678283,No Data,2-Storey,"$3,307 /yr",Detached,89,318 Cedarvale Avenue,Toronto,Woodbine-lumsden,"$849,000 ",,,,,
201,No Data,"5 (Jan 29, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",100.00 x 296 Feet,C4678296,5000 sqft,2-Storey,"$35,668 /yr",Detached,7,99 Old Colony Road,Toronto,St. Andrew-windfields,"$7,498,000 ",,,,,
202,No Data,"5 (Jan 29, 2020)","Forest Hill Real Estate Inc., Brokerage",66.00 x 120 Feet,C4678268,No Data,2-Storey,"$18,529 /yr",Detached,42,103 Dunloe Road,Toronto,Forest Hill South,"$5,188,000 ",,,,,
203,No Data,"5 (Jan 29, 2020)","Re/max Crossroads Realty Inc., Brokerage",54.00 x 136 Feet,W4678259,No Data,Bungalow-Raised,"$3,541 /yr",Detached,60,21 Gracefield Avenue,Toronto,Maple Leaf,"$799,000 ",,,,,
204,No Data,"5 (Jan 29, 2020)","Royal Lepage Signature Realty, Brokerage",43.00 x 115 Feet,E4678258,No Data,Backsplit 3,"$2,903 /yr",Detached,8,48 Rowallan Drive,Toronto,West Hill,"$779,900 ",,,,,
205,No Data,"5 (Jan 29, 2020)","Re/max Realtron Bijan Barati Real Estate, Brokerage",60.00 x 125 Feet,C4678257,No Data,2-Storey,No Data,Detached,49,10 Citation Drive,Toronto,Bayview Village,"$3,788,000 ",,,,,
206,No Data,"5 (Jan 29, 2020)","Re/max Professionals Inc., Brokerage",45.00 x 122 Feet,W4678247,No Data,Sidesplit 3,"$4,325 /yr",Detached,33,10 Sturton Road,Toronto,Kingsview Village-the Westway,"$1,149,888 ",,,,,
207,16-30 years,"5 (Jan 29, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 123.5 Feet,E4678239,No Data,2-Storey,"$6,739 /yr",Detached,95,53 Eaton Avenue,Toronto,Danforth,"$1,499,000 ",,,,,
208,No Data,"5 (Jan 28, 2020)","Royal Lepage Signature Realty, Brokerage",32.50 x 109 Feet,E4678182,No Data,Bungalow,"$2,671 /yr",Detached,60,52 Laurel Avenue,Toronto,Kennedy Park,"$629,000 ",,,,,
209,No Data,"6 (Jan 28, 2020)","Royal Lepage Real Estate Professionals, Brokerage",41.99 x 125 Feet,W4678151,No Data,Bungalow,"$3,327 /yr",Detached,60,583 Horner Avenue,Toronto,Alderwood,"$999,999 ",,,,,
210,No Data,"6 (Jan 28, 2020)","Jn Realty, Brokerage",61.00 x 99 Feet,E4678095,No Data,Sidesplit 3,"$4,300 /yr",Detached,39,24 Rhydwen Avenue,Toronto,Birchcliffe-cliffside,"$999,999 ",,,,,
211,No Data,"6 (Jan 28, 2020)","Sutton Group-admiral Realty Inc., Brokerage",32.15 x 100 Feet,C4678076,2500-3000 sqft,3-Storey,"$7,196 /yr",Detached,71,3 Madeline Road,Toronto,Willowdale West,"$1,799,888 ",,,,,
212,No Data,"6 (Jan 28, 2020)","Re/max West Realty Inc., Brokerage",30.00 x 115 Feet,W4678000,No Data,2 1/2 Storey,"$6,428 /yr",Detached,86,280 Keele Street,Toronto,Junction Area,"$1,399,000 ",,,,,
213,No Data,"6 (Jan 28, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",29.92 x 118 Feet,W4677999,No Data,2-Storey,"$3,353 /yr",Detached,72,90 Third Street,Toronto,New Toronto,"$898,000 ",,,,,
214,16-30 years,"6 (Jan 28, 2020)","Chestnut Park Real Estate Limited, Brokerage",88.00 x 300 Feet,C4678069,5000 sqft,2-Storey,"$41,764 /yr",Detached,17,328 Riverview Drive,Toronto,Bridle Path-sunnybrook-york Mills,"$11,500,000 ",,,,,
215,0-5 years,"6 (Jan 28, 2020)","Forest Hill Real Estate Inc., Brokerage",246.38 x 353.63 Feet,C4678024,No Data,2-Storey,"$124,702 /yr",Detached,12,71 The Bridle Path,Toronto,Bridle Path-sunnybrook-york Mills,"$32,000,000 ",,,,,
216,0-5 years,"6 (Jan 28, 2020)","Royal Lepage/j & D Division, Brokerage",40.00 x 150 Feet,C4678021,3500-5000 sqft,2-Storey,"$17,777 /yr",Detached,79,139 Sheldrake Boulevard,Toronto,Mount Pleasant East,"$5,950,000 ",,,,,
